RatID,Stage,Trial,Left Medium,Left Odor,Right Medium,Right Odor,Correct/Incorrect,Rewarded,Investigation,Omit/Note,nLatency,Latency,First Response (side),First Response (correct?)
47,SD,1,M,O3,M,O4,0,O3,Choice 2,,0:15,15,L,1
47,SD,2,M,O4,M,O3,1,O3,Choice 1,,0:03,3,R,1
47,SD,3,M,O3,M,O4,0,O3,Choice 1,,0:06,6,R,0
47,SD,4,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
47,SD,5,M,O4,M,O3,1,O3,Choice 1,,0:03,3,R,1
47,SD,6,M,O3,M,O4,0,O3,Choice 1,,0:05,5,R,0
47,SD,7,M,O3,M,O4,1,O3,Choice 2,,0:04,4,R,0
47,SD,8,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
47,SD,9,M,O4,M,O3,0,O3,Choice 1,,0:12,12,L,0
47,SD,10,M,O3,M,O4,1,O3,Choice 1,,0:03,3,L,1
47,SD,11,M,O3,M,O4,1,O3,Choice 1,,0:04,4,L,1
47,SD,12,M,O4,M,O3,1,O3,Choice 1,,0:03,3,R,1
47,SD,13,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
47,SD,14,M,O3,M,O4,1,O3,Choice 2,,0:04,4,R,0
47,SD,15,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
47,CD,1,M3,O3,M4,O4,1,O3,Choice 2,,0:06,6,R,0
47,CD,2,M4,O4,M3,O3,1,O3,Choice 1,,0:04,4,R,1
47,CD,3,M4,O3,M3,O4,0,O3,Choice 1,,0:06,6,R,0
47,CD,4,M3,O4,M4,O3,1,O3,Choice 2,,0:10,10,L,0
47,CD,5,M4,O4,M3,O3,1,O3,Choice 2,,0:09,9,L,0
47,CD,6,M4,O3,M3,O4,1,O3,Choice 2,,0:04,4,R,0
47,CD,7,M3,O3,M4,O4,1,O3,Choice 2,,0:07,7,R,0
47,CD,8,M4,O4,M3,O3,1,O3,Choice 1,,0:04,4,R,1
47,CD,9,M3,O4,M4,O3,1,O3,Choice 1,,0:04,4,R,0
47,REV1,1,M3,O3,M4,O4,0,O4,Choice 2,,0:07,7,R,1
47,REV1,2,M4,O4,M3,O3,0,O4,Choice 1,,0:04,4,R,0
47,REV1,3,M4,O3,M3,O4,0,O4,Choice 1,,0:05,5,L,0
47,REV1,4,M3,O4,M4,O3,1,O4,Choice 1,,0:08,8,L,1
47,REV1,5,M4,O4,M3,O3,0,O4,Choice 1,,0:08,8,R,0
47,REV1,6,M4,O3,M3,O4,1,O4,Choice 1,,0:05,5,R,1
47,REV1,7,M3,O3,M4,O4,1,O4,Choice 1,,0:03,3,R,1
47,REV1,8,M4,O4,M3,O3,0,O4,Choice 1,,0:07,7,R,0
47,REV1,9,M3,O4,M4,O3,0,O4,Choice 1,,0:13,13,R,0
47,REV1,10,M4,O3,M3,O4,0,O4,Choice 1,,0:05,5,R,0
47,REV1,11,M3,O3,M4,O4,1,O4,Choice 1,,0:03,3,R,1
47,REV1,12,M3,O4,M4,O3,1,O4,Choice 2,,0:09,9,R,0
47,REV1,13,M4,O4,M3,O3,1,O4,Choice 2,,0:07,7,R,0
47,REV1,14,M3,O3,M4,O4,1,O4,Choice 1,,0:03,3,R,1
47,REV1,14,M3,O3,M4,O4,1,O4,Choice 2,,0:18,18,R,0
47,REV1,15,M3,O4,M4,O3,1,O4,Choice 2,,0:04,4,R,0
47,ID,1,M5,O5,M6,O6,0,O5,Choice 1,,0:15,15,R,0
47,ID,2,M6,O6,M5,O5,0,O5,Choice 1,,0:04,4,L,0
47,ID,3,M6,O5,M5,O6,0,O5,Choice 1,,0:05,5,R,0
47,ID,4,M5,O6,M6,O5,1,O5,Choice 1,,0:03,3,R,1
47,ID,5,M6,O6,M5,O5,1,O5,Choice 1,,0:04,4,R,1
47,ID,6,M6,O5,M5,O6,1,O5,Choice 2,,0:06,6,R,0
47,ID,7,M5,O5,M6,O6,1,O5,Choice 1,,0:03,3,L,1
47,ID,8,M6,O6,M5,O5,1,O5,Choice 1,,0:03,3,R,1
47,ID,9,M5,O6,M6,O5,1,O5,Choice 1,,0:03,3,R,1
47,REV2,1,M5,O5,M6,O6,0,O6,Choice 2,,0:13,13,R,1
47,REV2,2,M6,O6,M5,O5,1,O6,Choice 2,,0:06,6,R,0
47,REV2,3,M6,O5,M5,O6,1,O6,Choice 1,,0:04,4,R,1
47,REV2,4,M5,O6,M6,O5,0,O6,Choice 1,,0:04,4,R,0
47,REV2,5,M6,O6,M5,O5,0,O6,Choice 1,,0:05,5,R,0
47,REV2,6,M6,O5,M5,O6,1,O6,Choice 1,,0:03,3,R,1
47,REV2,7,M5,O5,M6,O6,1,O6,Choice 1,,0:04,4,R,1
